Transformation,Emissions,Benefits,Cost,Source
Rehabilitating degraded land,Endogenously calculated,Ecosystem services of forests valued in Table B.2,"$45 / hectare / year to turn grassland or cropland to secondary forest


","Fargione et al. (2021), estimate a range of per-hectare costs of reforestation across the United States. We use the average for the US ($1,262/ha) and adjust to LAC, amortizing this cost over 15 years."
Slowing or ending deforestation ,Endogenously calculated,Ecosystem services of forests valued in  Table B.2,Foregone annual agricultural or livestock revenue (endogenously calculated based on the productivity per acre),See above table.
